t_s,v_measured_V,is_A,i_A,q_C,v_fitted_V,residual_V
2308,3.55192927530169,0.384807072469831,0.74,1707.92000000002,3.55192927530171,1.90958360235527e-14
2309,3.55157075140193,0.384842924859807,0.74,1708.66000000002,3.5515707514019,-2.1316282072803e-14
2310,3.55121097547996,0.384878902452004,0.74,1709.40000000002,3.55121097547995,-6.66133814775094e-15
2311,3.55084993755963,0.384915006244037,0.74,1710.14000000002,3.55084993755964,4.44089209850063e-15
2312,3.55048762758523,0.384951237241477,0.74,1710.88000000002,3.55048762758524,1.11022302462516e-14
2313,3.55012403542096,0.384987596457904,0.74,1711.62000000002,3.55012403542092,-4.66293670342566e-14
2314,3.54975915085006,0.385024084914994,0.74,1712.36000000002,3.54975915085007,8.88178419700125e-15
2315,3.54939296357472,0.385060703642528,0.74,1713.10000000002,3.5493929635747,-1.99840144432528e-14
2316,3.54902546321472,0.385097453678528,0.74,1713.84000000002,3.54902546321473,8.88178419700125e-15
2317,3.54865663930741,0.385134336069259,0.74,1714.58000000002,3.54865663930739,-2.30926389122033e-14
2318,3.54828648130655,0.385171351869345,0.74,1715.32000000002,3.54828648130654,-1.11022302462516e-14
2319,3.54791497858201,0.385208502141799,0.74,1716.06000000002,3.547914978582,-1.24344978758018e-14
2320,3.54754212041891,0.385245787958109,0.74,1716.80000000002,3.54754212041891,-4.44089209850063e-15
2321,3.54716789601699,0.385283210398301,0.74,1717.54000000002,3.547167896017,8.43769498715119e-15
2322,3.54679229448996,0.385320770551004,0.74,1718.28000000002,3.54679229448996,0
2323,3.54641530486475,0.385358469513525,0.74,1719.02000000002,3.54641530486475,-3.5527136788005e-15
2324,3.54603691608085,0.385396308391915,0.74,1719.76000000002,3.54603691608087,1.86517468137026e-14
2325,3.54565711698973,0.385434288301027,0.74,1720.50000000002,3.54565711698971,-2.35367281220533e-14
2326,3.54527589635381,0.385472410364619,0.74,1721.24000000002,3.54527589635381,-7.54951656745106e-15
2327,3.54489324284614,0.385510675715386,0.74,1721.98000000002,3.54489324284618,3.50830475781549e-14
2328,3.54450914504957,0.385549085495043,0.74,1722.72000000002,3.54450914504957,0
2329,3.54412359145576,0.385587640854424,0.74,1723.46000000002,3.54412359145577,1.37667655053519e-14
2330,3.54373657046486,0.385626342953514,0.74,1724.20000000002,3.54373657046485,-4.88498130835069e-15
2331,3.54334807038447,0.385665192961553,0.74,1724.94000000002,3.54334807038447,3.10862446895044e-15
2332,3.54295807942913,0.385704192057087,0.74,1725.68000000002,3.54295807942911,-1.77635683940025e-14
2333,3.54256658571933,0.385743341428067,0.74,1726.42000000002,3.54256658571935,1.95399252334028e-14
2334,3.54217357728112,0.385782642271888,0.74,1727.16000000002,3.54217357728111,-1.15463194561016e-14
2335,3.54177904204491,0.385822095795509,0.74,1727.90000000002,3.5417790420449,-8.43769498715119e-15
2336,3.54138296784507,0.385861703215493,0.74,1728.64000000002,3.54138296784507,-1.33226762955019e-15
2337,3.54098534241902,0.385901465758098,0.74,1729.38000000002,3.54098534241901,-1.19904086659517e-14
2338,3.54058615340642,0.385941384659358,0.74,1730.12000000002,3.54058615340642,0
2339,3.54018538834848,0.385981461165152,0.74,1730.86000000002,3.54018538834851,3.86357612569554e-14
2340,3.53978303468722,0.386021696531278,0.74,1731.60000000002,3.53978303468722,-4.44089209850063e-16
2341,3.53937907976442,0.386062092023558,0.74,1732.34000000002,3.5393790797644,-1.24344978758018e-14
2342,3.53897351082105,0.386102648917895,0.74,1733.08000000002,3.53897351082108,2.70894418008538e-14
2343,3.53856631499659,0.386143368500341,0.74,1733.82000000002,3.53856631499659,1.77635683940025e-15
2344,3.53815747932782,0.386184252067218,0.74,1734.56000000002,3.5381574793278,-2.08721928629529e-14
